group,n_samples,spearman_min,spearman_median,spearman_mean,spearman_max,jaccard_min,jaccard_median,jaccard_mean,jaccard_max
Bulk,5.0,-0.24993672713676918,-0.23920720994518346,-0.23774187550277187,-0.21677277153965127,0.0,0.0,0.0,0.0
RAG,10.0,-0.24545432877561388,-0.23216494931774695,-0.22922711398827483,-0.19614544148978375,0.0,0.0,0.0,0.0
RTP,11.0,-0.2477089427598099,-0.2406184252421585,-0.23388364020251642,-0.19160892639653967,0.0,0.0,0.0,0.0
ALL,26.0,-0.24993672713676918,-0.2352157721918332,-0.23283463690862646,-0.19160892639653967,0.0,0.0,0.0,0.0
