OTU	ERR1456790	ERR1456791	ERR1456792	ERR1456793	ERR1456794	ERR1456795	ERR1456796	ERR1456797	ERR1456798	ERR1456799	ERR1456800	ERR1456801	ERR1456802	ERR1456803	ERR1456804	ERR1456805	ERR1456806	ERR1456807	ERR1456808	ERR1456809	ERR1456810	ERR1456811	ERR1456812	ERR1456813	ERR1456814	ERR1456815	ERR1456816	ERR1456817	ERR1456818	ERR1456819	ERR1456821	ERR1456822	ERR1456823	ERR1456824	ERR1456825	ERR1456826	ERR1456827	ERR1456828	ERR1456829
d12a1f71dd18a4d6d43e80caf5750937	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6bc3b712c626d9e335366fab4345c0ce	147	111	123	0	0	0	117	0	0	94	123	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56a9331e0befa38282b23cb03fdae020	0	0	0	0	0	0	0	0	0	24	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6fd44ce601e89178c84454a14d0a02c5	28	20	8	0	34	35	27	0	40	28	28	0	33	19	0	0	0	16	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
591183910f83025bf209a7ff88f1bbd7	46	43	13	0	31	41	27	0	0	44	42	0	28	32	0	0	0	23	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9e8d2e80c49501966b2b512c8b36ba1e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
da425e691a03dbac007d4ad71c82e6c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ac0ecf4b46e1131ede8f7eb0eb90171c	723	589	676	540	663	772	753	584	655	557	581	390	558	589	417	505	475	473	490	0	0	0	106	0	0	0	93	0	0	76	113	0	81	126	0	0	74	0	0
2636723e3cd657af86e4f2ef0c804d74	6	3	7	0	0	0	5	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
711c8c7345522e1b3555eb1264ab67d4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
