sample,spearman_rho
RTP1,0.7970441825325466
RTP2,0.8029149390727508
RTP3,0.7925851609924293
RTP4,0.7980363137377746
RTP5,0.8087612641383481
RTP6,0.7937443605289861
RTP7,0.7968134881973381
RTP9,0.792440262085236
RTP10,0.8091415102919749
RTP11,0.7952830651405638
RTP12,0.7961980608196442
BulkTP1,0.8115003315376486
BulkTP2,0.8050583091958949
BulkTP3,0.8050825577618359
RAG1,0.7904599595310018
RAG2,0.8171956858963073
RAG3,0.7808057484899034
RAG4,0.8100359930013128
RAG5,0.7340983345932887
RAG6,0.7712338351610523
RAG7,0.7723741938637736
RAG8,0.7705339410201917
RAG10,0.7807507342543057
RAG12,0.7526501603483622
BulkRAG1,0.7487269172365266
BulkRAG2,0.7685093848598512
BulkRAG3,0.7616889827557094
